iter	MAE	RMSE
289	1.85401308	2.311056873
290	1.853546718	2.310538584
291	1.853187355	2.309820928
292	1.852675529	2.309060343
293	1.852248092	2.308551403
294	1.851964367	2.308183743
295	1.851645203	2.307665349
296	1.850987684	2.306926839
297	1.850389225	2.306085136
298	1.849272611	2.304292869
299	1.848705727	2.303375857
300	1.848101548	2.3023318
301	1.847487317	2.301858141
302	1.846702248	2.300896392
303	1.846306839	2.30047949
304	1.845577538	2.299396593
305	1.845242025	2.29883018
306	1.844587634	2.297858575
307	1.844026055	2.297237497
308	1.843246921	2.296065655
309	1.842556967	2.295069025
310	1.841536613	2.293799356
311	1.841199712	2.293177907
312	1.840370798	2.292300148
313	1.839868642	2.29153088
314	1.839334569	2.290800235
315	1.838786445	2.290054931
316	1.838359733	2.289588626
317	1.837525806	2.28851173
318	1.836879324	2.287677408
319	1.836489495	2.28706604
320	1.835828913	2.286257154
321	1.8350004	2.285363512
322	1.834385805	2.284552504
323	1.833747109	2.28381445
324	1.833478389	2.283460123
325	1.832568168	2.282243374
326	1.832088464	2.281705871
327	1.831448064	2.280872361
328	1.830972328	2.28022073
329	1.830673631	2.279715646
330	1.830229179	2.279300341
331	1.829756213	2.278805643
332	1.829090366	2.277697808
333	1.828963222	2.277621255
334	1.828223781	2.276650409
335	1.827676444	2.275896434
336	1.826936164	2.274962042
337	1.826460443	2.274327037
338	1.826138126	2.274041269
339	1.825727843	2.273640628
340	1.825083172	2.272672722
341	1.824401089	2.2717894
342	1.823733946	2.271028124
343	1.823310051	2.270465579
344	1.822542758	2.269367292
345	1.822536073	2.269366968
346	1.82206831	2.268811934
347	1.821862322	2.268537446
348	1.821205238	2.267510532
349	1.820617969	2.266713563
350	1.820052291	2.266064766
351	1.819517206	2.265339482
352	1.819110721	2.264930447
353	1.818882636	2.264469555
354	1.818485908	2.26401717
355	1.81785157	2.263204975
356	1.816964211	2.262305218
357	1.816396221	2.261726651
358	1.815749197	2.261162633
359	1.814946328	2.259996895
360	1.814467853	2.259409818
361	1.814082209	2.259102533
362	1.813084784	2.257922104
363	1.812780607	2.257504587
364	1.812307501	2.257029385
365	1.811871344	2.256536982
366	1.811065862	2.255393969
367	1.810535904	2.254800013
368	1.810168391	2.254439169
369	1.809980825	2.254218389
370	1.809563838	2.253668687
371	1.80870006	2.252593553
372	1.808303137	2.25209249
373	1.807832669	2.251527315
374	1.807420659	2.25103851
375	1.806398035	2.249854085
376	1.805753179	2.249196554
377	1.805295027	2.248711589
378	1.804478993	2.247498355
379	1.80415002	2.247016177
380	1.803791769	2.246542043
381	1.803364474	2.246048203
382	1.802884831	2.245484198
383	1.802285019	2.244857678
384	1.801506162	2.243885561
385	1.801064544	2.243287947
386	1.800417487	2.242621759
387	1.799880331	2.241860148
388	1.799439982	2.241184004
389	1.798878404	2.240323751
390	1.797928928	2.239007629
391	1.797425772	2.238401307
392	1.797185882	2.237988067
393	1.79635669	2.237060183
394	1.795930557	2.236561036
395	1.795548966	2.236192774
396	1.794600094	2.234913473
397	1.793641028	2.233631065
398	1.79336668	2.233388617
399	1.792824	2.23271244
400	1.792472472	2.232273557
401	1.792329946	2.232080193
402	1.791186804	2.230850857
403	1.790762922	2.230192288
404	1.790299676	2.229676039
405	1.789790078	2.228986887
406	1.788704949	2.227672902
407	1.788259747	2.227082048
408	1.787697015	2.226515671
409	1.787020734	2.225575563
410	1.786698502	2.225238587
411	1.786339605	2.224831444
412	1.78588539	2.224295682
413	1.785197691	2.223580433
414	1.784622133	2.222910018
415	1.784290952	2.222462376
416	1.783641676	2.221626762
417	1.783297321	2.221038963
418	1.782683746	2.220169089
419	1.782304164	2.219708284
420	1.781501814	2.218848383
421	1.781230311	2.218530115
422	1.780478557	2.217690462
423	1.779751519	2.216715956
424	1.779339891	2.216216915
425	1.778991263	2.215892105
426	1.778484955	2.215150028
427	1.777862261	2.214396646
428	1.777754006	2.214299152
429	1.777184139	2.213504853
430	1.776874206	2.21313938
431	1.776463348	2.212591471
432	1.7760497	2.212103902
433	1.775281536	2.211213405
434	1.774930057	2.210772069
435	1.774496047	2.210197506
436	1.773945798	2.209631022
437	1.773712988	2.209314726
438	1.773053635	2.208514398
439	1.772255746	2.207461922
440	1.771765022	2.206885828
441	1.771423944	2.206435615
442	1.770570501	2.20527802
443	1.769846405	2.204650567
444	1.769442987	2.204036687
445	1.769104586	2.203703005
446	1.76851922	2.20287418
447	1.767899533	2.202243681
448	1.76701515	2.201361182
449	1.766237155	2.200351458
450	1.765807851	2.199730231
451	1.765183798	2.199061759
452	1.764992584	2.198848918
453	1.764133718	2.197648141
454	1.76390349	2.197339479
455	1.76324327	2.196553
456	1.762802393	2.19609715
457	1.762188499	2.195104389
458	1.761404608	2.194267785
459	1.76092335	2.193588061
460	1.760535233	2.193114752
461	1.760193423	2.192802758
462	1.759474975	2.192171463
463	1.758891731	2.191631985
464	1.758590369	2.191329001
